age,height,weight,throws,brk,pitches,starter,before,TJ,diff,S
48,72,170,L,10.776586135807072,2439,TRUE,81.53711048158641,1,NA,FALSE
37,70,180,L,9.147759746355531,155,FALSE,93.55833333333332,1,2.0373585726719057,TRUE
35,73,220,R,7.192625013215167,2257,TRUE,88.3274647887324,1,NA,FALSE
33,73,175,R,9.21340331005187,430,TRUE,90.35714285714286,1,0.7063972336286923,TRUE
33,74,175,R,11.016718328305497,747,FALSE,88.7161111111111,1,NA,FALSE
37,75,185,R,9.16395523309122,2872,TRUE,87.3789608177172,1,NA,FALSE
32,73,195,R,10.228891423516867,287,TRUE,91.025,1,NA,FALSE
35,75,205,L,8.483052102096355,697,FALSE,88.35560975609756,1,0.032120305252135495,TRUE
33,78,235,R,8.291468616543556,3094,TRUE,91.49785016286646,1,0.48035420807271123,TRUE
30,73,215,L,8.795082728239064,2019,TRUE,93.36891766882516,1,-2.3381926149845214,TRUE
32,78,234,R,11.210075153111475,1176,FALSE,93.8203869047619,1,0.7539565295815436,TRUE
27,72,195,R,12.793993701182377,29,FALSE,89.58947368421053,1,NA,FALSE
41,76,255,R,7.760720262029113,246,FALSE,92.26153846153845,1,NA,FALSE
30,79,235,R,10.53926185955243,3522,TRUE,90.93019108280254,1,-0.5065828353798594,TRUE
29,76,245,R,10.863242637745007,42,FALSE,93.455,1,NA,FALSE
30,72,210,R,8.645849156748607,1395,TRUE,90.7,1,-0.06315789473684674,TRUE
29,74,200,L,8.99482071613685,644,FALSE,91.31268292682927,1,-0.03320531488895995,TRUE
30,76,245,R,7.38265159727631,2758,TRUE,91.50269396551724,1,NA,FALSE
38,74,215,R,8.904515187726943,929,FALSE,91.01383285302593,1,-0.051744940938021955,TRUE
32,73,195,R,10.275929248549494,586,FALSE,93.07079889807162,1,0.42011019283746975,TRUE
28,78,265,R,9.495218411128423,164,TRUE,93.69245283018867,1,0.9939108061749664,TRUE
28,75,220,R,9.980268045909535,379,FALSE,92.52566371681415,1,-3.0039245863793695,TRUE
30,75,215,R,11.172264309750705,1028,FALSE,94.09509345794392,1,-2.9042248610619623,TRUE
35,72,225,L,8.958100555284366,581,FALSE,87.6293768545994,1,NA,FALSE
28,75,245,R,8.924076485952401,949,FALSE,94.73738601823707,1,-0.3490948789965671,TRUE
31,74,195,R,10.304029212825336,1137,FALSE,93.91921568627451,1,NA,FALSE
28,74,230,R,8.79923804858665,774,TRUE,90.85803402646503,1,NA,FALSE
31,76,215,R,8.785502349428523,2838,TRUE,91.32252502780867,1,-2.154868777808659,TRUE
32,76,215,R,7.429129454355118,396,FALSE,93.82295918367346,1,NA,FALSE
32,80,225,R,9.042238485258357,3044,TRUE,92.67174076865109,1,0.26003180659974134,TRUE
28,76,225,R,10.458388265929893,2028,TRUE,90.3329268292683,1,NA,FALSE
31,72,205,R,9.35297968030935,1085,FALSE,96.70056497175142,1,-1.6222821434685955,TRUE
32,75,200,R,8.178569374571913,717,TRUE,86.89285714285714,1,NA,FALSE
26,75,215,L,10.373361669561989,414,FALSE,91.35974842767295,1,-0.6445166395934905,TRUE
32,74,195,L,10.906096444022051,137,FALSE,85.51896551724138,1,NA,FALSE
30,77,220,R,8.867580137963955,915,TRUE,89.10052219321149,1,NA,FALSE
27,76,190,R,9.952394676884703,609,FALSE,93.9453125,1,NA,FALSE
24,73,185,R,10.71226229557668,440,TRUE,88.64080882352941,1,NA,FALSE
24,73,235,R,6.278289031080426,2431,TRUE,89.97106598984772,1,-0.8359913629820426,TRUE
28,73,200,L,7.547590028493576,219,FALSE,91.79166666666667,1,NA,FALSE
26,71,235,R,10.888902954161102,128,FALSE,93.8135922330097,1,NA,FALSE
28,73,210,R,6.9846765487438836,307,TRUE,83.20384615384616,1,NA,FALSE
28,74,210,L,9.048394315501438,842,FALSE,91.18700000000001,1,-0.9736666666666736,TRUE
33,75,215,L,7.4751630223515155,444,FALSE,92.75514018691588,1,NA,FALSE
31,77,220,L,10.79432641770151,72,FALSE,87.80000000000001,1,3.7454545454545354,TRUE
28,72,180,R,7.166968645736799,1006,FALSE,84.965,1,NA,FALSE
29,77,235,R,8.88906586601494,2762,TRUE,91.10352112676057,1,0.7595494126585152,TRUE
33,72,215,L,11.674715684594798,2806,TRUE,87.49122073578596,1,-1.71407787864311,TRUE
27,75,215,R,11.337167765781777,572,FALSE,98.83530864197532,1,NA,FALSE
29,73,240,R,8.661161882370473,2378,TRUE,91.5518790100825,1,NA,FALSE
